date,source,catTL,value
2020-10-01,Farmed,Low,0.09007427370894999
2020-10-01,Farmed,Medium,0.15279218797137
2020-10-01,Mixed,Low,0.77887292879386
2020-10-01,Mixed,Medium,0.48505683540502
2020-10-01,Wild,High,0.71462545581356
2020-10-01,Wild,Low,0.16212555909853
2020-10-01,Wild,Medium,0.09242867578179
2020-11-01,Farmed,High,0.20845069351602
2020-11-01,Farmed,Low,0.10695949556266
2020-11-01,Farmed,Medium,0.1383564720429
2020-11-01,Mixed,Low,0.85862640203538
2020-11-01,Mixed,Medium,0.5103488355845001
2020-11-01,Wild,High,0.70771177639077
2020-11-01,Wild,Low,0.15158845136516
2020-11-01,Wild,Medium,0.08705987282437
2020-12-01,Farmed,High,0.24470177867573
2020-12-01,Farmed,Low,0.15669213719883998
2020-12-01,Farmed,Medium,0.15606476116238
2020-12-01,Mixed,Low,1.73058312692012
2020-12-01,Mixed,Medium,0.93697423041537
